order number,customer number,amount,product
2,11,$260.74,206
3,3,$299.63,280
4,11,$255.00,252
5,3,$202.99,292
6,5,$26.97,271
7,12,$57.22,290
8,2,$234.52,263
9,13,$220.63,258
10,6,$158.18,235
11,2,$269.93,283
12,11,$15.58,250
13,8,$278.91,250
14,14,$70.81,205
15,13,$98.16,290
16,8,$297.56,264
17,12,$198.14,202
18,13,$239.57,266
19,15,$119.57,207
20,15,$217.97,242
21,5,$69.46,218
22,12,$221.73,285
23,2,$93.80,254
24,15,$169.90,264
25,8,$252.20,248
26,8,$26.71,252
27,8,$12.66,226
28,12,$231.16,270
29,2,$116.79,285
30,7,$227.42,242
31,8,$171.86,254
32,13,$166.01,265
33,13,$247.63,219
34,15,$150.13,214
35,14,$257.49,235
36,5,$247.72,231
37,3,$30.21,208
38,4,$58.68,260
39,13,$293.87,245
40,3,$284.50,214
41,7,$243.05,265
42,2,$77.51,277
43,4,$233.97,214
44,10,$266.23,257
45,10,$60.11,207
46,14,$299.97,264
47,4,$236.88,263
48,4,$282.94,203
49,10,$6.69,285
50,15,$114.35,249
51,7,$77.77,223
52,10,$223.98,267
53,13,$96.66,207
54,15,$133.79,247
55,9,$217.85,215
56,9,$145.99,211
57,13,$266.64,282
58,6,$101.73,282
59,10,$63.77,257
60,5,$184.43,271
61,5,$13.78,232
62,3,$8.29,214
63,14,$201.00,260
64,3,$198.94,235
65,3,$237.71,262
66,12,$194.32,284
67,7,$193.79,205
68,11,$85.78,257
69,13,$284.42,249
70,12,$240.14,249
71,9,$105.27,273
72,9,$62.07,239
73,13,$290.20,235
74,13,$33.51,282
75,6,$106.09,261
76,13,$126.23,226
77,8,$127.04,229
78,2,$287.71,263
79,15,$7.10,244
80,14,$226.27,209
81,6,$257.65,231
82,13,$134.81,206
83,6,$172.26,281
84,5,$223.80,300
85,12,$217.69,268
86,4,$151.24,200
87,6,$41.86,218
88,15,$225.22,252
89,15,$155.82,242
90,12,$83.70,270
91,14,$222.76,241
92,4,$63.51,255
93,7,$277.80,274
94,15,$31.57,215
95,2,$82.49,227
96,2,$54.60,206
97,5,$260.36,265
98,6,$208.95,291
99,8,$217.09,241
100,4,$119.90,261
101,11,$222.19,221
102,9,$154.20,244
103,6,$248.88,287
104,2,$163.65,256
105,4,$265.19,204
106,15,$277.76,286
107,12,$49.52,248
108,9,$217.73,215
109,14,$127.20,241
110,5,$40.22,234
111,12,$76.50,263
112,13,$219.50,250
113,14,$19.08,257
114,15,$231.64,208
115,4,$256.47,282
116,8,$68.84,213
117,8,$53.74,276
118,7,$180.70,215
119,3,$247.79,218
120,9,$219.67,278
121,12,$212.47,295
122,15,$257.30,225
123,6,$66.53,295
124,13,$297.88,294
125,14,$234.79,228
126,2,$146.37,217
127,9,$64.84,203
128,5,$103.15,261
129,8,$262.05,203
130,4,$261.70,258
131,4,$109.18,284
132,8,$145.04,242
133,12,$112.47,292
134,14,$139.04,263
135,9,$116.79,248
136,7,$85.40,241
137,10,$15.11,269
138,2,$95.27,218
139,13,$73.12,236
140,12,$108.45,255
141,2,$184.15,230
142,14,$166.51,201
143,15,$170.71,261
144,4,$117.66,295
145,7,$271.13,289
146,10,$142.64,236
147,15,$280.32,220
148,11,$164.25,280
149,3,$192.51,245
150,13,$97.51,261
151,7,$89.06,261
152,9,$246.03,298
153,8,$192.77,267
154,3,$174.84,237
155,4,$16.83,244
156,14,$177.27,296
157,6,$169.22,252
158,5,$28.50,225
159,14,$252.76,285
160,2,$120.64,210
161,10,$253.51,231
162,15,$132.18,222
163,2,$236.20,249
164,15,$190.08,205
165,4,$117.22,252
166,2,$168.73,268
167,9,$142.89,248
168,6,$180.37,276
169,13,$244.29,243
170,2,$282.00,283
171,2,$26.77,236
172,3,$153.34,234
173,3,$191.00,277
174,9,$125.39,209
175,8,$109.86,248
176,2,$213.35,229
177,15,$236.38,236
178,12,$70.34,208
179,15,$8.60,212
180,13,$235.51,274
181,10,$10.05,229
182,11,$245.38,265
183,9,$33.53,243
184,12,$68.93,283
185,5,$172.68,274
186,4,$161.75,207
187,13,$101.27,207
188,13,$224.47,207
189,7,$14.91,261
190,8,$245.38,205
191,4,$52.58,255
192,3,$171.15,222
193,6,$134.80,205
194,7,$236.30,237
195,8,$178.37,226
196,2,$209.31,211
197,14,$50.84,254
198,11,$36.91,249
199,4,$216.93,255
200,6,$159.37,223
201,9,$108.17,200
202,11,$188.01,204
203,10,$199.85,205
204,2,$4.92,211
205,4,$38.66,296
206,15,$227.90,257
207,15,$191.55,249
208,3,$56.40,291
209,10,$242.43,246
210,11,$143.83,294
211,2,$88.20,296
212,5,$257.38,239
213,13,$167.74,266
214,9,$157.56,203
215,6,$215.18,273
216,2,$39.36,267
217,11,$279.31,258
218,3,$197.20,232
219,4,$289.41,211
220,10,$143.00,234
221,13,$220.67,284
222,15,$96.00,230
223,11,$92.60,250
224,13,$63.87,269
225,13,$195.45,246
226,5,$225.51,297
227,12,$134.82,291
228,7,$148.98,260
229,10,$114.64,264
230,13,$215.48,223
231,15,$273.79,284
232,12,$66.88,238
233,2,$282.12,225
234,6,$235.47,218
235,8,$194.82,270
236,10,$198.47,247
237,8,$219.04,297
238,14,$114.73,259
239,2,$148.68,284
240,4,$48.44,228
241,3,$159.48,255
242,8,$255.54,249
243,7,$190.42,267
244,9,$257.96,280
